Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Revised scientific name,Division,Growth Form,Division,Growth form,In GBIF,In SA,Comments,Scientific Name and Authority
,,,,,Encyonopsis,,Encyonopsis ,Genus,,,Unicellular,,,Yes,No,,
,,,,,Encyonopsis,leei,Encyonopsis leei,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Encyonopsis,leei var. sinensis,Encyonopsis leei var. sinensis,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Encyonopsis,raytonensis,Encyonopsis raytonensis,Species,,Bacillariophyta - diatoms,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Encyonopsis,subminuta,Encyonopsis subminuta,Species,,,Unicellular,,,Yes,No,,
,,,,,Entomoneis,,Entomoneis ,Genus,,,,,,Yes,No,,
,,,,,Eolimna,,Eolimna ,Genus,,,,,,Yes,No,,
,,,,,Eolimna,minima,Eolimna minima,Species,,,,,,Yes,No,,
,,,,,Eolimna,subminuscula,Eolimna subminuscula,Species,,,,,,Yes,No,,
,,,,,Epithemia,adnata,Epithemia adnata,Species,,,,,,Yes,No,,
,,,,,Epithemia,sorex,Epithemia sorex,Species,,,,,,Yes,No,,
,,,,,Euastrum,,Euastrum ,Genus,,,,,,Yes,No,,
,,,,,Euglena ,,Euglena,Genus,,,,,,Yes,No,,
,,,,,Euglena,gracilis,Euglena gracilis,Species,,,,,,Yes,No,,
,,,,,Eunotia,,Eunotia,Genus,,,,,,Yes,No,,
,,,,,Eunotia,bilunaris,Eunotia bilunaris,Species,,,,,,Yes,No,,
,,,,,Eunotia,exigua,Eunotia exigua,Species,,,,,,Yes,No,,
,,,,,Eunotia,flexuosa,Eunotia flexuosa,Species,,,,,,Yes,No,,
,,,,,Eunotia,formica,Eunotia formica,Species,,,,,,Yes,No,,
,,,,,Eunotia,incisa,Eunotia incisa,Species,,,,,,Yes,No,,
,,,,,Eunotia,minor,Eunotia minor,Species,,,,,,Yes,No,,
,,,,,Eunotia,pectinalis,Eunotia pectinalis,Species,,,,,,Yes,No,,
,,,,,Eunotia,pectinalis var. undulata,Eunotia pectinalis var. undulata,Species,,,,,,Yes,No,,
,,,,,Eunotia,rhomboidea,Eunotia rhomboidea,Species,,,,,,Yes,No,,
,,,,,Eutreptiella ,,Eutreptiella  ,Genus,,,,,,Yes,No,,
,,,,,Fallacia,,Fallacia,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Fischerella,,Fischerella ,Genus,,,,,,Yes,No,,
,,,,,Fistulifera,saprophila,Fistulifera saprophila,Species,,,,,,Yes,No,,
,,,,,Fottiella ,,Fottiella  ,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Fragilaria,,Fragilaria,Genus,,,,,,Yes,Yes,,
,,,,,Fragilaria,biceps,Fragilaria biceps,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Fragilaria,capucina,Fragilaria capucina,Species,,,,,,Yes,No,,
,,,,,Fragilaria,capucina var. rumpens,Fragilaria capucina var. rumpens,Species,,,,,,Yes,No,,
,,,,,Fragilaria,capucina var. vaucheriae,Fragilaria capucina var. vaucheriae,Species,,,,,,Yes,No,,
,,,,,Fragilaria,crotonensis,Fragilaria crotonensis,Species,,,,,,Yes,No,,
,,,,,Fragilaria,parasitica,Fragilaria parasitica,Species,,,,,,Yes,No,,
,,,,,Fragilaria,parasitica var. constricta,Fragilaria parasitica var. constricta,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Fragilaria,rumpens,Fragilaria rumpens,Species,,,,,,Yes,No,,
,,,,,Fragilaria,tenera,Fragilaria tenera,Species,,,,,,Yes,No,,
,,,,,Fragilaria,ulna,Fragilaria ulna,Species,,,,,,Yes,No,,
,,,,,Frustulia,,Frustulia,Genus,,,,,,Yes,No,,
,,,,,Frustulia,crassinervia,Frustulia crassinervia,Species,,,,,,Yes,No,,
,,,,,Frustulia,gibba,Frustulia gibba,Species,,,,,,Yes,No,,
,,,,,Frustulia,rostrata,Frustulia rostrata,Species,,,,,,Yes,No,,
,,,,,Frustulia,saxonica,Frustulia saxonica,Species,,,,,,Yes,No,,
,,,,,Frustulia,vulgaris,Frustulia vulgaris,Species,,,,,,Yes,No,,
,,,,,Geissleria,decussis,Geissleria decussis,Species,,,,,,Yes,No,,
,,,,,Geminella,,Geminella ,Genus,,,,,,Yes,No,,
,,,,,Gloeocapsa,,Gloeocapsa ,Genus,,,,,,Yes,No,,
,,,,,Gloeocystis,,Gloeocystis ,Genus,,,,,,Yes,No,,
,,,,,Gloeothece,,Gloeothece ,Genus,,,,,,Yes,No,,
,,,,,Gomphonema,,Gomphonema,Genus,,Bacillariophyta - diatoms,,,,Yes,No,,
,,,,,Gomphonema,acuminatum,Gomphonema acuminatum,Species,,Bacillariophyta - diatoms,,,,Yes,No,,
,,,,,Gomphonema,affine,Gomphonema affine,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,affine gracile,Gomphonema affine gracile,Species,,Bacillariophyta - diatoms,Unicellular,,,No,,,
Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,affine lagenula,Gomphonema affine lagenula,Species,,Bacillariophyta - diatoms,Unicellular,,,No,,,
,,,,,Gomphonema,angustum,Gomphonema angustum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Gomphonema,capitatum,Gomphonema capitatum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Gomphonema,clavatum,Gomphonema clavatum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,exilissimum,Gomphonema exilissimum,Species,,,Unicellular,,,No,,,
,,,,,Gomphonema,insigne,Gomphonema insigne,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Gomphonema,italicum,Gomphonema italicum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Gomphonema,lagenula,Gomphonema lagenula,Species,,,Unicellular,,,Yes,No,,
,,,,,Gomphonema,laticollum,Gomphonema laticollum,Species,,Bacillariophyta - diatoms,,,,Yes,No,,
