Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Habitat,Origin,Endemism,Conservation status,Subspecies,Subspecies,Former scientific name 1,Former scientific name 2,Former scientific name 3,Former scientific name 4,Former scientific name 5 ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,afrovernayi,Enteromius afrovernayi,"Enteromius afrovernayi (Nichols & Boulton, 1927)",Spottail barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus afrovernaya,Barbus afrovernayi,Barbus vernayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,amatolicus,Enteromius amatolicus,"Enteromius amatolicus (Skelton, 1990)",Amatola barb,Freshwater,Native,Widespread,Data deficient,,,Barbus amatolicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,annectens,Enteromius annectens,"Enteromius annectens (Gilchrist & Thompson, 1917)",Broadstriped barb,Freshwater,Native,Widespread,Least concern,,,Barbus annectens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,anoplus,Enteromius anoplus,"Enteromius anoplus  (Weber, 1897)",Chubbyhead barb,Freshwater,Native,Widespread,Least concern,,,Barbus anoplus,Barbus anoplus anoplus,Barbus anoplus cernuus,Barbus anoplus oraniensis,Barbus anoplus typica,Barbus cernuus,Barbus karkensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,argenteus,Enteromius argenteus,"Enteromius argenteus (Günther, 1868)",Rosefin barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus argenteus,Barbus crocodilensis,Puntius argenteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,barnardi,Enteromius barnardi,"Enteromius barnardi (Jubb, 1965)",Blackback barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus barnardi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,barotseensis,Enteromius barotseensis,"Enteromius barotseensis (Pellegrin, 1920)",Barotse barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus barotseensis,Barbus radiatus barotseensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,bifrenatus,Enteromius bifrenatus,"Enteromius bifrenatus (Fowler, 1935)",Hyphen barb,Freshwater,Native,Widespread,Least concern,,,Barbus bifrenatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,breviceps,Enteromius breviceps,"Enteromius breviceps (Trewavas, 1936)",Shorthead barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus breviceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,brevidorsalis,Enteromius brevidorsalis,"Enteromius brevidorsalis (Boulenger, 1915)",Dwarf barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus brevidorsalis,Barbus puellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,brevipinnis,Enteromius brevipinnis,"Enteromius brevipinnis (Jubb, 1966)",Shortfin barb,Freshwater,Native,Widespread,Near threatened,,,Barbus brevipennis,Barbus brevipinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,choloensis,Enteromius choloensis,"Enteromius choloensis (Norman, 1925)",Silver barb,Freshwater,Non-native,Regional endemic level 1,Vulnerable,,,Barbus choloensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,dorsolineatus,Enteromius dorsolineatus,"Enteromius dorsolineatus (Trewavas, 1936)",Topstripe barb,Freshwater,Non-native,Regional endemic level 1,Least concern,,,Barbus dorsolineatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,eutaenia,Enteromius eutaenia,"Enteromius eutaenia (Boulenger, 1904)",Orangefin barb,Freshwater,Native,Widespread,Least concern,,,Barbus entaenia,Barbus eutaenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,fasciolatus,Enteromius fasciolatus,"Enteromius fasciolatus (Günther, 1868)",Red barb,Freshwater,Non-native,Widespread,Least concern,,,Barbodes fasciolatus,Barbus barilioides,Barbus faciolatus,Barbus fasciolatus,Puntius fasciolatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,gurneyi,Enteromius gurneyi,"Enteromius gurneyi (Günther, 1868)",Redtail barb,Freshwater,Native,Widespread,Vulnerable,,,Barbus gurneyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,haasianus,Enteromius haasianus,"Enteromius haasianus (David, 1936)",Sicklefin barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus haaseanus,Barbus haasianus,Barbus woehlerti,Puntius wöhlerti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,hospes,Enteromius hospes,"Enteromius hospes (Barnard, 1938)",Namaqua barb,Freshwater,Native,Regional endemic level 1,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,Enteromius kerstenii,"Enteromius kerstenii (Peters, 1868)",Redspot barb,Freshwater,Non-native,Widespread,Least concern,,,Barbus akeleyi,Barbus kerstenii,Barbus kerstenii kerstenii,Barbus lumiensis,Barbus minchinii,Barbus nigrolinea,Barbus salmo,Barbus tangandensis,Barbus zanzibaricus paucior,Labeobarbus kerstenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,Enteromius lineomaculatus,"Enteromius lineomaculatus (Boulenger, 1903)",Line-spotted barb,Freshwater,Native,Widespread,Least concern,,,Barbus lineamaculatus,Barbus lineomaculatus,Barbus lineomaculatus lineomaculatus,Puntius lineomaculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
