Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,gurneyi,Enteromius gurneyi,"Enteromius gurneyi (Günther, 1868)",Redtail barb,Native,Widespread,Vulnerable,1,Barbus gurneyi
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,hospes,Enteromius hospes,"Enteromius hospes (Barnard, 1938)",Namaqua barb,Native,Regional endemic level 1,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,Enteromius kerstenii,"Enteromius kerstenii (Peters, 1868)",Redspot barb,Non-native,Widespread,Least concern,1,Barbus akeleyi;Barbus kerstenii;Barbus kerstenii kerstenii;Barbus lumiensis;Barbus minchinii;Barbus nigrolinea;Barbus salmo;Barbus tangandensis;Barbus zanzibaricus paucior;Labeobarbus kerstenii
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,Enteromius lineomaculatus,"Enteromius lineomaculatus (Boulenger, 1903)",Line-spotted barb,Native,Widespread,Least concern,1,Barbus lineamaculatus;Barbus lineomaculatus;Barbus lineomaculatus lineomaculatus;Puntius lineomaculatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,mattozi,Enteromius mattozi,"Enteromius mattozi (Guimaraes, 1884)",Papermouth,Native,Widespread,Least concern,1,Barbus mattozi;Barbus mottozi;Barbus rapax;Barbus sauvagei;Barbus serrula
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,motebensis,Enteromius motebensis,"Enteromius motebensis (Steindachner, 1894)",Marico barb,Native,Widespread,Near threatened,1,Barbus kamaia;Barbus kamaiae;Barbus motebensis kamaiae;Barbus motebensis motebensis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,neefi,Enteromius neefi,"Enteromius neefi (Greenwood, 1962)",Sidespot barb,Non-native,Widespread,Least concern,1,Barbus neefi 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,pallidus,Enteromius pallidus,"Enteromius pallidus (Smith, 1841)",Goldie barb,Native,Widespread,Least concern,1,Barbus hemipleurogramma;Barbus pallidus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,paludinosus,Enteromius paludinosus,"Enteromius paludinosus (Peters, 1852)",Straightfin barb,Native,Widespread,Least concern,1,Barbus akakianus;Barbus amphigramma;Barbus gibbosus;Barbus helleri;Barbus ivongoensis;Barbus longicauda;Barbus macropristis;Barbus macropristis meruensis;Barbus meruensis;Barbus paludinosis;Barbus paludinosus;Barbus paludonosus;Barbus taitensis;Barbus thikensis;Barbus tsotsorogensis;Barbus vinciguerrai;Barbus welwitschii;Puntius paludinosus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,radiatus,Enteromius radiatus,"Enteromius radiatus (Peters, 1853)",Beira barb,Native,Widespread,Least concern,1,Barbus akavangoensis;Barbus aurantiacus;Barbus auxartiacus;Barbus banguelensis;Barbus bangwelensis;Barbus doggetti;Barbus myersi;Barbus okavangoensis;Barbus palustris;Barbus paradoxus;Barbus radiatus;Barbus radiatus;Barbus radiatus aurantiacus;Barbus radiatus radiatus;Barbus rogersi;Barbus rubellus;Beirabarbus aurantiacus;Beirabarbus okavangoensis;Beirabarbus palustris
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,thamalakanensis,Enteromius thamalakanensis,"Enteromius thamalakanensis (Fowler, 1935)",Thamalakane barb,Non-native,Widespread,Least concern,1,Barbus fitzsimonsi;Barbus thamalakanensis;Barbus thamalakenensis 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,toppini,Enteromius toppini,"Enteromius toppini (Boulenger, 1916)",East-coast barb,Native,Widespread,Least concern,1,Barbus toppini;Barbus umbeluziensis 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,treurensis,Enteromius treurensis,"Enteromius treurensis (Groenewald, 1958)",Treur River barb,Native,Micro-endemic level 2,Critically endangered,1,Barbus treurensis
