RHP Site Code,Latitude,Longitude,,
B7OLIF-VYGEB,-24.034,31.566,,
B7OLIF-ZEEKG,-24.069,31.149,,
B7TONG-BEWAA,-24.088,29.863,,
B8BROE-BRIDG,-23.82417,30.008,,
B8GLET-APPLE,-23.91493,30.05218,,
B8GLET-GIYBR,-23.68348,30.6102,,
B8GLET-IFR16,-23.67917,31.1,,
B8GLET-JANET,-23.75381,30.49255,,
B8GLET-LETR3,-23.65,31.04167,,
B8GLET-MEREN,-23.64923,30.6604,,
B8GLET-MTUMI,-23.91467,30.05138,,
B8GLET-NAGUD,-23.79167,30.46667,,
B8GLET-NKOWA,-23.87267,30.2715,,
B8GLET-NONDW,-23.6875,30.86717,,
B8GLET-PRIES,-23.64767,30.71683,,
B8GLET-SLABW,-23.65833,30.98333,,
B8GLET-VERGE,-23.88708,30.07703,,
B8GLET-YAMOR,-23.8388,30.21787,,
B8KLET-BENDS,-23.29567,30.622,,
B8KLET-BRIDG,-23.26,30.3705,,
B8KLET-CANAL,-23.2495,30.49467,,
B8KLET-GIYAN,-23.3495,30.73683,,
B8KLET-HLANE,-23.2805,30.54317,,
B8KLET-KREME,-23.3195,30.67333,,
B8KLET-MAJOS,-23.23067,30.27933,,
B8KLET-SINGL,-23.48667,31.04383,,
B8KLET-SOUTI,-23.41783,30.91617,,
B8KLET-VUHEL,-23.4275,30.87667,,
B8LETS-CRAIG,-23.97417,30.16583,,
B8LETS-TANKB,-23.88333,30.26667,,
B8MOLO-BRIDG,-23.51167,30.41667,,
B8MOLO-DZUME,-23.57083,30.74833,,
B8MOLO-MODJA,-23.59917,30.33417,,
B8MOLO-SEKHI,-23.43767,30.54667,,
B8NSAM-BANAN,-23.28917,30.82417,,
B8NSAM-YOUTH,-23.35517,30.91517,,
B8POLI-KINGF,-23.8205,30.06,,
B8POLI-RANA,-23.88217,30.01717,,
B8THAB-RAMOD,-24.0255,30.16917,,
BIVAAL-UPSTR,-25.8238,29.48977,,
C1BANK-SPRING,-26.53842,29.01164,,
C1BRAK-BRAKS,-26.9363,29.16977,,
