Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Former scientific name,Common name,Habitat,Origin,Endemism,Conservation status
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,toppini,Enteromius toppini,"Enteromius toppini (Boulenger, 1916)",Barbus toppini ,East-coast barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,treurensis,Enteromius treurensis,"Enteromius treurensis (Groenewald, 1958)",Barbus treurensis ,Treur River barb,Freshwater,Native,Micro-endemic level 2,Critically endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,trimaculatus,Enteromius trimaculatus,"Enteromius trimaculatus (Peters, 1852)",Barbus trimaculatus ,Threespot barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,unitaeniatus,Enteromius unitaeniatus,"Enteromius unitaeniatus (Günther, 1866)",Barbus unitaeniatus ,Longbeard barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,viviparus,Enteromius viviparus,"Enteromius viviparus (Weber, 1897)",Barbus viviparus ,Bowstripe barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius ,atkinsoni,Enteromius  atkinsoni,"Enteromius atkinsoni (Bailey, 1969)",Barbus atkinsoni,Dash-dot barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius ,kessleri ,Enteromius  kessleri ,"Enteromius kessleri (Steindachner, 1866)",Barbus kessleri ,Gillbar barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius ,paludinosus,Enteromius  paludinosus,"Enteromius paludinosus (Peters, 1852)",Barbus paludinosus,Straightfin barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,molitrix,Hypophthalmichthys molitrix,"Hypophthalmichthys molitrix (Valenciennes, 1844)",,Silver carp ,Freshwater,Alien,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,altivelis,Labeo altivelis,"Labeo altivelis Peters, 1852",,Manyame labeo,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,ansorgii,Labeo ansorgii,"Labeo ansorgii Boulenger, 1907",,Cunene labeo,Freshwater,Alien,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,capensis,Labeo capensis,"Labeo capensis (Smith, 1841)",,Orange River mudfish,Freshwater,Alien,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,congoro,Labeo congoro,"Labeo congoro Peters, 1852",,Purple labeo,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,cylindricus,Labeo cylindricus,"Labeo cylindricus Peters, 1852",,Redeye labeo,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,lunatus,Labeo lunatus,"Labeo lunatus Jubb, 1963",,Upper Zambezi labeo,Freshwater,Alien,Regional endemic level 2,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,molybdinus,Labeo molybdinus,"Labeo molybdinus du Plessis, 1963",,Leaden labeo,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rosae,Labeo rosae,"Labeo rosae Steindachner, 1894",,Rednose labeo,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rubromaculatus,Labeo rubromaculatus,"Labeo rubromaculatus Gilchrist & Thompson, 1913",,Tugela labeo,Freshwater,Native,Micro-endemic level 1,Vulnerable
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,ruddi,Labeo ruddi,"Labeo ruddi Boulenger, 1907",,Silver labeo,Freshwater,Native,Micro-endemic level 2,Data deficient
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,seeberi,Labeo seeberi,"Labeo seeberi Gilchrist & Thompson, 1911",,Clanwilliam sandfish,Freshwater,Native,Regional endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,umbratus,Labeo umbratus,"Labeo umbratus (Smith, 1841)",,Moggel,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,aeneus,Labeobarbus aeneus,"Labeobarbus aeneus (Burchell, 1822)",,Vaal-Orange smallmouth yellowfish,Freshwater,Extralimital,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,codringtonii,Labeobarbus codringtonii,"Labeobarbus codringtonii Boulenger, 1908",Barbus codringtonii,Upper Zambezi yellowfish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,dimidiatus,Labeobarbus dimidiatus,"Labeobarbus dimidiatus Tweddle & Skelton, 1998",Varicorhinus dimidiatus ,Blacktop chiselmouth,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,kimberleyensis,Labeobarbus kimberleyensis,"Labeobarbus kimberleyensis Gilchrist & Thompson, 1913",,Vaal-Orange largemouth yellowfish,Freshwater,Native,Regional endemic level 1,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,marequensis,Labeobarbus marequensis,"Labeobarbus marequensis Smith, 1841",Barbus marequensis,Lowveld largescale yellowfish,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,natalensis,Labeobarbus natalensis,"Labeobarbus natalensis Castelnau, 1861",Barbus natalensis,Scaly Kwa-Zulu Natal yellowfish,Freshwater,Native,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,nelspruitensis,Labeobarbus nelspruitensis,"Labeobarbus nelspruitensis (Gilchrist & Thompson, 1911)",Varicorhinus nelspruitensis ,Incomati chiselmouth,Freshwater,Native,Micro-endemic level 1,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,polylepis,Labeobarbus polylepis,"Labeobarbus polylepis Boulenger, 1907",Barbus polylepis,Bushveld smallscale yellowfish,Freshwater,Native,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,pungweensis,Labeobarbus pungweensis,"Labeobarbus pungweensis Jubb, 1959",Varicorhinus pungweensis ,Pungwe chiselmouth,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,seeberi,Labeobarbus seeberi,"Labeobarbus seeberi  (Gilchrist & Thompson, 1913)",Labeobarbus capensis,Clanwilliam yellowfish,Freshwater,Native,Regional endemic level 1,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,xyrocheilus,Labeobarbus xyrocheilus,"Labeobarbus xyrocheilus Tweddle & Skelton, 1998",Varicorhinus xyrocheilus,Razorlip chiselmouth,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Opsaridium,peringueyi,Opsaridium peringueyi,"Opsaridium peringueyi (Gilchrist & Thompson, 1913)",,Southern barred minnow,Freshwater,Native,Widespread,Extinct
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Opsaridium,tweddleorum,Opsaridium tweddleorum,"Opsaridium tweddleorum (Skelton, 1996)",,Dwarf sanjika,Freshwater,Alien,Regional endemic level 2,Data deficient
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Opsaridium,zambezense,Opsaridium zambezense,"Opsaridium zambezense (Peters, 1852)",,Barred minnow,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus, skeltoni,Pseudobarbus  skeltoni,Pseudobarbus skeltoni Chakona and Swartz 2013,,Giant redfin,Freshwater,Native,Micro-endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,afer,Pseudobarbus afer,"Pseudobarbus afer (Peters, 1864)",,Eastern Cape redfin,Freshwater,Native,Micro-endemic level 1,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,asper,Pseudobarbus asper,"Pseudobarbus asper (Boulenger, 1911)",,Smallscale redfin,Freshwater,Native,Regional endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,burchelli,Pseudobarbus burchelli,"Pseudobarbus burchelli (Smith, 1841)",,Breede River redfin,Freshwater,Native,Micro-endemic level 1,Critically endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,burgi,Pseudobarbus burgi,"Pseudobarbus burgi (Boulenger, 1911)",,Berg River redfin,Freshwater,Native,Regional endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,calidus,Pseudobarbus calidus,"Pseudobarbus calidus (Barnard, 1938)",Barbus calidus,Clanwilliam redfin,Freshwater,Native,Regional endemic level 2,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,capensis,Pseudobarbus capensis,"Pseudobarbus capensis (Smith, 1841)",Barbus andrewi,Berg-breede river whitefish,Freshwater,Native,Regional endemic level 1,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,erubescens,Pseudobarbus erubescens,"Pseudobarbus erubescens (Skelton, 1974)",Barbus erubescens,Twee river redfin,Freshwater,Native,Micro-endemic level 1,Critically endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,phlegethon,Pseudobarbus phlegethon,"Pseudobarbus phlegethon (Barnard, 1938)",,Fiery redfin,Freshwater,Native,Micro-endemic level 1,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,quathlambae,Pseudobarbus quathlambae,"Pseudobarbus quathlambae (Barnard, 1938)",,Maloti minnow,Freshwater,Native,Micro-endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,senticeps,Pseudobarbus senticeps,"Pseudobarbus senticeps (Smith, 1936)",,,Freshwater,Native,Micro-endemic level 2,Critically endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,serra,Pseudobarbus serra,"Pseudobarbus serra (Peters, 1864)",Barbus serra,Sawfin,Freshwater,Native,Micro-endemic level 1,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,swartzi,Pseudobarbus swartzi,"Pseudobarbus swartzi Chakona & Skelton, 2017",,Gamtoos redfin,Freshwater,Native,Micro-endemic level 2,Vulnerable
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,tenuis,Pseudobarbus tenuis,"Pseudobarbus tenuis (Barnard, 1938)",,Slender redfin,Freshwater,Native,Micro-endemic level 2,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,trevelyani,Pseudobarbus trevelyani,"Pseudobarbus trevelyani Günther, 1877",Barbus trevelyani,Border barb,Freshwater,Native,Micro-endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,verloreni,Pseudobarbus verloreni,"Pseudobarbus verloreni Chakona, Swartz & Skelton, 2014",,,Freshwater,Native,Micro-endemic level 2,Endangered
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,tinca,Tinca tinca,"Tinca tinca (Linnaeus, 1758)",,Tench,Freshwater,Alien,Widespread,Least concern
